SINONIMIA,MEDICAMENTO
BENZOYLGLYCINE                                    ,ACIDUM HIPPURICUM
BENZYLPENICILLINUM NATRICUM                       ,PENICILLINUM
BERBERIS                                          ,BERBERIS VULGARIS
BERBERIS AQUIF                                    ,BERBERIS AQUIFOLIUM
BERBERIS CANADENSIS                               ,BERBERIS VULGARIS
BERBERIS DUMETORUM                                ,BERBERIS VULGARIS
BERBERIS IRRITABILIS                              ,BERBERIS VULGARIS
BERBERIS PISIFERA                                 ,BERBERIS VULGARIS
BERBERIS SERRULATA                                ,BERBERIS VULGARIS
BERBERIS SINENSIS                                 ,BERBERIS VULGARIS
BERBERIS VULG                                     ,BERBERIS VULGARIS
BERINJELA                                         ,SOLANUM MELONGENA
BERYL EMERALD                                     ,ESMERALDA
BERYLLIUM                                         ,BERYLLIUM METALLICUM
BERYLLIUM CHLOR                                   ,BERYLLIUM MURIATICUM
BERYLLIUM CHLORATUM                               ,BERYLLIUM MURIATICUM
BERYLLIUM FLUOR                                   ,BERYLLIUM FLUORATUM
BERYLLIUM FLUORICUM                               ,BERYLLIUM FLUORATUM
BERYLLIUM MET                                     ,BERYLLIUM METALLICUM
BERYLLIUM MUR                                     ,BERYLLIUM MURIATICUM
BERYLLIUM NIT                                     ,BERYLLIUM NITRICUM
BERYLLIUM OXYD                                    ,BERYLLIUM OXYDATUM
BERYLLIUM SULPH                                   ,BERYLLIUM SULPHURICUM
BETA ESTRADIOL (H)                                ,ESTRADIOL
BETA GALACTOSIDASE (H)                            ,LACTASE
BETA HCG                                          ,GONADOTROFINA CORIONICA HUMANA
BETA VULGARIS RUBRA                               ,BETA VULGARIS
BETAMETAZONA + DEXCLORFENIRAMINA MALEATO (H)      ,BETAMETAZONA + DEXCLORFENIRAMINA
BETONICA                                          ,STACHYS BETONICA
BETULA                                            ,BETULA ALBA
BETULA POPULIFOLIA                                ,BETULA ALBA
BETULA PUBESCENS                                  ,BETULA ALBA
BETULA VERRUCOSA                                  ,BETULA ALBA
BETUMEN LIQUIDUM                                  ,PETROLEUM
BEWICKII SWAN FEATHER                             ,CYGNUS COLUMBIANUS BEWICKII
BEXIGA TOTAL                                      ,BEXIGA
BIBIRU                                            ,OLEANDER
BICHROMAS KALICUS                                 ,KALI BICHROMICUM
BIGNONIA CAROBA                                   ,JACARANDA
BIGNONIA SEMPERVIRENS                             ,GELSEMIUM SEMPERVIRENS
BIIODATUS                                         ,MERCURIUS IOD RUB
BIIODIDUM HYDRARGYRI                              ,MERCURIUS IOD RUB
BIJODATUS                                         ,MERCURIUS IOD RUB
BILBERRY                                          ,MYRTILLUS
BILE DA VESICULA DA RAPOSA                        ,FEL VULPIS
BILINUM                                           ,FEL TAURI
BILIS BOVINA                                      ,FEL TAURI
BIN-IODUM HYDRARGYRI                              ,MERCURIUS IOD RUB
BINIODIDUM HYDRARGYRI                             ,MERCURIUS IOD RUB
BIPERIDENO CLORIDRATO (H)                         ,BIPERIDENO
BISBIRINDA AMARGOSO                               ,CHAPARRO AMARGOSO
BISMUTHI MAGISTERIUM                              ,BISMUTHUM SUBNITRICUM
BISMUTHI OXYDUM                                   ,BISMUTHUM OXYDATUM
BISMUTHI SUBNITRAS                                ,BISMUTHUM SUBNITRICUM
BISMUTHUM                                         ,BISMUTHUM SUBNITRICUM
BISMUTHUM ALBUM                                   ,BISMUTHUM SUBNITRICUM
BISMUTHUM HYDRICO-NITRICUM                        ,BISMUTHUM SUBNITRICUM
BISMUTHUM MAGISTERIUM                             ,BISMUTHUM SUBNITRICUM
BISMUTHUM MET                                     ,BISMUTHUM METALLICUM
BISMUTHUM NITR                                    ,BISMUTHUM SUBNITRICUM
BISMUTHUM NITRICUM                                ,BISMUTHUM SUBNITRICUM
BISMUTHUM OXIDUM                                  ,BISMUTHUM OXYDATUM
BISMUTHUM SUBNITR                                 ,BISMUTHUM SUBNITRICUM
BITIS ATROPOS REMEDIA                             ,BITIS ATROPOS
BITTER BARK OF AUSTRALIA                          ,ALSTONIA CONSTRICTA
BLATTA                                            ,BLATTA ORIENTALIS
BLATTA AM                                         ,BLATTA AMERICANA
BLEMORRHINUM                                      ,MEDORRHINUM
BLENORRHINUM                                      ,MEDORRHINUM
BLITUM AMERICANUM                                 ,PHYTOLACCA DECANDRA
BLUE PEAFOWL PEACOCK                              ,PAVO CRISTATUS
BLUEBERRY (H)                                     ,MYRTILLUS
BOA CONSTRICTOR ADIPIS                            ,BOA CONSTRICTOR
BOIQUIRA                                          ,CROTALUS HORRIDUS
BOLDO                                             ,PEUMUS BOLDUS
BOLDO DO CHILE                                    ,PEUMUS BOLDUS
BOLDO FRAGANS                                     ,PEUMUS BOLDUS
BOLDOA  FRAGANS                                   ,PEUMUS BOLDUS
BOLETUS NIGRESCENS                                ,BOLETUS LURIDUS
BOLETUS PINUS                                     ,POLYPORUS PINICOLA
BOLUS ALBA                                        ,ALUMINA SILICATA
BOMBYX PROC                                       ,BOMBYX PROCESSIONEA
BONPLANDIA ANGUSTURA                              ,ANGUSTURA VERA
BONPLANDIA TRIFOLIATA                             ,ANGUSTURA VERA
BORACICUM ACIDUM                                  ,ACIDUM BORICUM
BORACIS ACIDUM                                    ,ACIDUM BORICUM
BORAS SODICUS                                     ,BORAX VENETA
BORAX (H)                                         ,BORAX VENETA
BORAX NATRICUS                                    ,BORAX VENETA
BORAX SODICUS                                     ,BORAX VENETA
BORAX VEN                                         ,BORAX VENETA
BORIUM                                            ,BORIUM METALLICUM
BORIUM MET                                        ,BORIUM METALLICUM
BORUM                                             ,BORIUM METALLICUM
BOS TAURUS                                        ,FEL TAURI
BOSWELLIA SACRA                                   ,OLIBANUM SACRUM
BOSWELLIA SERRATA                                 ,OLIBANUM
BOTHROPS                                          ,BOTHROPS LANCEOLATUS
BOTHROPS CAICACA                                  ,BOTHROPS LANCEOLATUS
BOTHROPS JARARACA                                 ,BOTHROPS LANCEOLATUS
BOTHROPS SURUKUKU                                 ,LACHESIS TRIGONOCEPHALUS
BOTRIOPSIS PLATYPHYLLA                            ,PARREIRA BRAVA
BOTRYS MEXICANA                                   ,CHENOPODIUM ANTHELMINTICUM
BOTULINUM                                         ,CLOSTRIDIUM BOTULINUM
BOUNAFA                                           ,FERULA GLAUCA
BOVINUM                                           ,TUBERCULINUM BOVINUM
BOVISTA GIGANTEA                                  ,BOVISTA
BOVISTA LYCOPERDON                                ,BOVISTA
BOVISTA NIGRESCENS                                ,BOVISTA
BOVISTA OFFICINALIS                               ,BOVISTA
BOWDICHEA VIRGINOIDES                             ,BOWDICHEA MAJOR
BOX JELLYFISH                                     ,CHIRONEX FLECKERI
BRACHYGLOTTIS                                     ,BRACHYGLOTTIS REPENS
BRACHYGLOTTIS FORSTERI                            ,BRACHYGLOTTIS REPENS
BRACHYGLOTTIS REP                                 ,BRACHYGLOTTIS REPENS
BRACHYPELMA SMITHI (PILI)                         ,BRACHYPELMA SMITHI
BRAHEA SERRULATA                                  ,SABAL SERRULATA
BRAMHAMELLA CAT                                   ,BRAMHAMELLA CATARRALIS
BRANCA URSINA                                     ,HERACLEUM SPHONDYLIUM
BRASSICA ALBA                                     ,SINAPIS ALBA
BRASSICA NAPUS OLEIFERA                           ,BRASSICA NAPUS
BRASSICA NIGRA                                    ,SINAPIS NIGRA
BRAUNERIA PALLIDA                                 ,ECHINACEA ANGUSTIFOLIA
BRAYERA ANTHELMINTHICA                            ,KOUSSO
BROMINIUM                                         ,BROMIUM
BROMOCRIPTINA MESILATO (H)                        ,BROMOCRIPTINA
BROMUM                                            ,BROMIUM
BROMURETUM KALICUM                                ,KALI BROMATUM
BROMURETUM LITHICUM                               ,LITHIUM BROMATUM
BROMURETUM POTASSICUM                             ,KALI BROMATUM
BROMURETUM SODICUM                                ,NATRUM BROMATUM
BRONQUIO                                          ,BRONQUIO TOTAL
BRONQUIO ALV                                      ,BRONQUIO ALVEOLAR
BRONQUIO E BRONQUIOLOS                            ,BRONQUIO TOTAL
BROSIMUM ACUTIFOLIUM                              ,MURURE
BROWN RECLUSE SPIDER                              ,LOXOSCELES RECLUSA
BRUCEA ABYSSINICA                                 ,BRUCEA ANTIDYSENTERICA
BRUCEA FERRUGINEA                                 ,BRUCEA ANTIDYSENTERICA
BRUGMANSIA ARBOREA                                ,DATURA ARBOREA
BRUGMANSIA CANDIDA                                ,DATURA ARBOREA
BRUNELLA VULGARIS                                 ,PRUNELLA VULGARIS
BRUNFELSIA HOPEANA                                ,FRANCISCEA UNIFLORA
BRYONIA                                           ,BRYONIA ALBA
BRYONIA CRETICA                                   ,BRYONIA ALBA
BRYONIA DIOICA                                    ,BRYONIA ALBA
BRYONIA VERA                                      ,BRYONIA ALBA
BUCCO                                             ,BAROSMA CRENATA
BUCHINHA DO NORTE                                 ,LUFFA OPERCULATA
BUCHU                                             ,BAROSMA CRENATA
BUCHU CRENATA                                     ,BAROSMA CRENATA
BUCLISINA (H)                                     ,OBESENINUM
BUCLISINA DICLORIDRATO (H)                        ,OBESENINUM
BUCUUBA                                           ,NUX MOSCHATA
BUCUUVA                                           ,NUX MOSCHATA
BUFFALO'S MILK                                    ,LAC BUFFALO
BUFO                                              ,BUFO RANA
BUFO AQUA                                         ,BUFO SAHYTIENSIS
BUFO BUFO                                         ,BUFO RANA
BUFO CINEREUS                                     ,BUFO RANA
BUFO FUSCUS                                       ,BUFO RANA
BUFO VARIABILIS                                   ,BUFO RANA
BUFO VULGARIS                                     ,BUFO RANA
BUFONIS SALIVA                                    ,BUFO RANA
BUFONIS VULGARIS                                  ,BUFO RANA
BULBINUM                                          ,BULBO RAQUIDIANO
BULBO CEREBRAL                                    ,BULBO RAQUIDIANO
BULBO DE BORRACHA (H)                             ,LATEX
BULBO DE LATEX (H)                                ,LATEX
BUNIUM CARVI                                      ,CARUM CARVI
BUPROPIONA CLORIDRATO (H)                         ,BUPROPIONA CLORIDRATO ISOTERAPICO
BURSA PASTORIS                                    ,THLASPI BURSA PASTORIS
BUTANE ACID                                       ,ACIDUM BUTYRICUM
BUTEO JAMAICENSIS RAPT                            ,BUTEO JAMAICENSIS
BUTUA                                             ,PARREIRA BRAVA
CAAPEBA                                           ,PARREIRA BRAVA
CABELO DE MILHO                                   ,ZEA MAYS
CACALIA AMARA                                     ,BACCHARIS TRIMERA
CACALIA DECURRENS                                 ,BACCHARIS TRIMERA
CACAO                                             ,THEOBROMA CACAO
CACAO THEOBROMA                                   ,THEOBROMA CACAO
CACTINA                                           ,CACTUS GRANDIFLORUS
CACTUS                                            ,CACTUS GRANDIFLORUS
CACTUS BONPLANDII                                 ,CEREUS BONPLANDII
CACTUS GRAND                                      ,CACTUS GRANDIFLORUS
CACTUS HUMIFUSUS                                  ,OPUNTIA VULGARIS
CACTUS OPUNTIA                                    ,OPUNTIA VULGARIS
CACTUS SERPENTINUS                                ,CEREUS SERPENTINUS
CADMII SULFAS                                     ,CADMIUM SULPHURICUM
CADMII SULPHAS                                    ,CADMIUM SULPHURICUM
CADMII SULPHIDUM                                  ,CADMIUM SULPHURATUM
CADMIUM                                           ,CADMIUM METALLICUM
CADMIUM ARSENICICUM                               ,CADMIUM ARSENICOSUM
CADMIUM IOD                                       ,CADMIUM IODATUM
CADMIUM MET                                       ,CADMIUM METALLICUM
CADMIUM NIT                                       ,CADMIUM NITRICUM
CADMIUM NITRATE HYDRATE                           ,CADMIUM NITRICUM
CADMIUM SULFURATUM                                ,CADMIUM SULPHURATUM
CADMIUM SULFURICUM                                ,CADMIUM SULPHURICUM
CAESIUM                                           ,CAESIUM METALLICUM
CAESIUM MUR                                       ,CAESIUM MURIATICUM
CAFEINA (H)                                       ,CAFFEINUM
CAFFEINA                                          ,CAFFEINUM
CAHINCA                                           ,CHIOCOCCA RACEMOSA
CAINCA                                            ,CHIOCOCCA RACEMOSA
CAINCA RACEMOSA                                   ,CHIOCOCCA RACEMOSA
CAIÇACA                                           ,BOTHROPS LANCEOLATUS
CAJAZEIRA                                         ,SPONDIA MOMBIM
CAJUEIRO                                          ,ANACARDIUM OCCIDENTALE
CALABAR                                           ,PHYSOSTIGMA VENENOSUM
CALABAR BEAN                                      ,PHYSOSTIGMA VENENOSUM
CALADIUM SEG                                      ,CALADIUM SEGUINUM
CALCAREA                                          ,CALCAREA CARBONICA
CALCAREA ACETICA HAH                              ,CALCAREA ACETICA
CALCAREA ARS                                      ,CALCAREA ARSENICOSA
CALCAREA ARSENICICA                               ,CALCAREA ARSENICOSA
CALCAREA BILIARE                                  ,CALCULI BILIARE
CALCAREA BROM                                     ,CALCAREA BROMATA
CALCAREA CALCINATA                                ,OVA TOSTA
CALCAREA CARB                                     ,CALCAREA CARBONICA
CALCAREA CARBONICA HAH                            ,CALCAREA CARBONICA
CALCAREA CARBONICA OSTREARUM                      ,CALCAREA CARBONICA
CALCAREA CAUSTICA                                 ,CALCAREA OXYDATA
CALCAREA CHLORATA                                 ,CALCAREA MURIATICA
CALCAREA FLUOR                                    ,CALCAREA FLUORICA
CALCAREA FLUORATA                                 ,CALCAREA FLUORICA
CALCAREA FLUOSILICATA                             ,LAPIS ALBUS
CALCAREA FLUOSILICICA                             ,LAPIS ALBUS
CALCAREA HYDRICA                                  ,CALCAREA OXYDATA
CALCAREA HYDROBROMICA                             ,CALCAREA BROMATA
CALCAREA JODATA                                   ,CALCAREA IODATA
CALCAREA LACTICA                                  ,LACTATO CALCIO
CALCAREA MUR                                      ,CALCAREA MURIATICA
CALCAREA NIT                                      ,CALCAREA NITRICA
CALCAREA OSTREARUM                                ,CALCAREA CARBONICA
CALCAREA OSTREICA                                 ,CALCAREA CARBONICA
CALCAREA OVI TESTAE                               ,OVA TOSTA
CALCAREA OVORUM                                   ,OVA TOSTA
CALCAREA PHOSPH                                   ,CALCAREA PHOSPHORICA
CALCAREA PICRATA                                  ,CALCAREA PICRICA
CALCAREA RENALIS                                  ,CALCULI RENALE
CALCAREA SIL                                      ,CALCAREA SILICATA
CALCAREA SILICICA                                 ,CALCAREA SILICATA
CALCAREA SILICOFLUORATA                           ,LAPIS ALBUS
CALCAREA STIBIATO-SULFURATUM                      ,CALCIUM STIBIATO-SULFURATUM
CALCAREA SULPHURATA                               ,HEPAR SULFUR
CALCAREA SULPHURETA                               ,HEPAR SULFUR
CALCII ARSENIAS                                   ,CALCAREA ARSENICOSA
CALCII BROMIDUM                                   ,CALCAREA BROMATA
CALCII CARBONAS OSTREARUM                         ,CALCAREA CARBONICA
CALCII CARBONAS OSTREICA                          ,CALCAREA CARBONICA
CALCII CHLORICUM                                  ,CALCAREA MURIATICA
CALCII CHLORIDUM                                  ,CALCAREA MURIATICA
CALCII FLUORICUM                                  ,CALCAREA FLUORICA
CALCII FLUORIDUM                                  ,CALCAREA FLUORICA
CALCII FLUOSILICATIS                              ,LAPIS ALBUS
CALCII HYDRAS                                     ,CALCAREA OXYDATA
CALCII IODAS                                      ,CALCAREA IODATA
CALCII IODIDUM                                    ,CALCAREA IODATA
CALCII LACTAS                                     ,LACTATO CALCIO
CALCII PHOSPHAS PRAECIPITATUS                     ,CALCAREA PHOSPHORICA
CALCII POLISULFUR                                 ,HEPAR SULFUR
CALCII POLISULPHUR                                ,HEPAR SULFUR
CALCII SULPHAS                                    ,CALCAREA SULPHURICA
CALCII SULPHIDUM                                  ,CALCAREA SULPHURICA
CALCIO GLICINA (H)                                ,CALCIO QUELADO
CALCIO LACTATO (H)                                ,LACTATO CALCIO
CALCIS HYDRAS                                     ,CALCAREA OXYDATA
CALCIS PHOSPHAS                                   ,CALCAREA PHOSPHORICA
CALCIS SULPHAS                                    ,CALCAREA SULPHURICA
CALCITONINA                                       ,CALCITONINUM
CALCIUM ACETICUM                                  ,CALCAREA ACETICA
CALCIUM ARSENICOSUM                               ,CALCAREA ARSENICOSA
CALCIUM BILIARIS                                  ,CALCULI BILIARE
CALCIUM BROMATUM                                  ,CALCAREA BROMATA
CALCIUM CARBONICUM                                ,CALCAREA CARBONICA
CALCIUM CARBONICUM HAH                            ,CALCAREA CARBONICA
CALCIUM CAUSTICUM                                 ,CALCAREA OXYDATA
CALCIUM CHLORATUM                                 ,CALCAREA MURIATICA
CALCIUM FLUORATUM                                 ,CALCAREA FLUORICA
CALCIUM FLUORICUM                                 ,CALCAREA FLUORICA
CALCIUM FLUORSILICICUM                            ,LAPIS ALBUS
CALCIUM HYDROBROMICUM                             ,CALCAREA BROMATA
CALCIUM HYDROCHLORICUM                            ,CALCAREA MURIATICA
CALCIUM HYPOPHOSPHORICUM                          ,CALCAREA HYPOPHOSPHOROSA
CALCIUM HYPOPHOSPHOROSUM                          ,CALCAREA HYPOPHOSPHOROSA
CALCIUM IODATUM                                   ,CALCAREA IODATA
CALCIUM JODATUM                                   ,CALCAREA IODATA
CALCIUM LACTICUM                                  ,LACTATO CALCIO
CALCIUM NITRICUM                                  ,CALCAREA NITRICA
CALCIUM OSTREARUM                                 ,CALCAREA CARBONICA
CALCIUM OXALICUM                                  ,CALCAREA OXALICA
CALCIUM OXYDATUM HYDRICUM                         ,CALCAREA OXYDATA
CALCIUM PHOSPHORICUM                              ,CALCAREA PHOSPHORICA
CALCIUM PICRICUM                                  ,CALCAREA PICRICA
CALCIUM RENALIS                                   ,CALCULI RENALE
CALCIUM SILICATUM                                 ,CALCAREA SILICATA
CALCIUM SULFURATUM                                ,HEPAR SULFUR
CALCIUM SULFURICUM                                ,CALCAREA SULPHURICA
CALCIUM SULPHURATUM                               ,HEPAR SULFUR
CALCIUM SULPHURATUM HAH                           ,HEPAR SULFUR
CALCIUM SULPHURATUM STIBIATUM                     ,CALCIUM STIBIATO-SULFURATUM
CALCIUM SULPHURICUM                               ,CALCAREA SULPHURICA
CALCULI URINAE                                    ,CALCULI RENALE
CALCULO BILI                                      ,CALCULI BILIARE
CALCULO BILIAR                                    ,CALCULI BILIARE
CALCULO VESICAL                                   ,CALCULI BILIARE
CALCULUS BILIARIS                                 ,CALCULI BILIARE
CALENDULA                                         ,CALENDULA OFFICINALIS
CALENDULA OFF                                     ,CALENDULA OFFICINALIS
CALLICOCCA IPECACUANHA                            ,IPECACUANHA
CALLISTACHYA VIRGINICA                            ,LEPTANDRA VIRGINICA
CALOMEL                                           ,MERCURIUS DULCIS
CALOMELANO                                        ,MERCURIUS DULCIS
CALOMELAS                                         ,MERCURIUS DULCIS
CALOTROPIS                                        ,CALOTROPIS GIGANTEA
CALOTROPIS GIG                                    ,CALOTROPIS GIGANTEA
CALTHA ALPINA                                     ,ARNICA MONTANA
CALTHA OFF                                        ,CALENDULA OFFICINALIS
CALTHA PAL                                        ,CALTHA PALUSTRE
CALTHA SATIVA                                     ,CALENDULA OFFICINALIS
CALTHA VULGARIS                                   ,CALENDULA OFFICINALIS
CALX CHLORATA                                     ,CALCAREA MURIATICA
CAMAEDAPHNEFOLLIS TINI                            ,KALMIA LATIFOLIA
CAMBARA                                           ,LANTANA CAMBARA
CAMBOGIA                                          ,GAMBOGIA
CAMEL' S MILK                                     ,LAC CAMELINUM
CAMELLIA SINENSIS                                 ,THEA SINENSIS
CAMELLIA THEA                                     ,THEA SINENSIS
CAMELLIA THEIFERA                                 ,THEA SINENSIS
CAMPANULA SYLVESTRIS                              ,DIGITALIS PURPUREA
CAMPHOR OFFICINARUM                               ,CAMPHORA
CAMPHORA NATURALIS                                ,CAMPHORA
CAMPHORA OFFICINALIS                              ,CAMPHORA
CANA DO BREJO                                     ,COSTUS SPICATUS
CANABIDIOL (H)                                    ,CBD
CANCER ASTACUS                                    ,ASTACUS FLUVIATILIS
CANCER FLUVIATILIS                                ,ASTACUS FLUVIATILIS
CANCER NOSODIO                                    ,CARCINOSINUM
CANCER OF TREES                                   ,NECTRIANINUM
CANCERINUM                                        ,CARCINOSINUM
CANCERO-TOXINA                                    ,CARCINOSINUM
CANDELARIA                                        ,VERBASCUM THAPSIFORME
CANDELARIA IBUM VULGARE                           ,VERBASCUM THAPSIFORME
CANDIDA                                           ,CANDIDA ALBICANS
CANDIDA ALB                                       ,CANDIDA ALBICANS
CANDIDA COMPLEXO                                  ,CANDIDA ALBICANS
CANDIDA SP                                        ,CANDIDA ALBICANS
CANDIDIN                                          ,CANDIDA ALBICANS
CANDIDINE                                         ,CANDIDA ALBICANS
CANDIDINUM                                        ,CANDIDA ALBICANS
CANELA                                            ,CINNAMOMUM CEYLANICUM
CANELA DA INDIA                                   ,CINNAMOMUM CEYLANICUM
CANFORA (H)                                       ,CAMPHORA
CANHAMO                                           ,PANGO
CANHAMO DA INDIA                                  ,PANGO
CANHAMO INDIANO                                   ,PANGO
CANHAMO VERDADEIRO                                ,POLYGONUM VIRIDIFLORUM
CANIS FAMILIARIS                                  ,LAC CANINUM
CANIS LUPIS                                       ,LAC LUPINUM
CANIS VULPIS                                      ,FEL VULPIS
CANNAMOMUM                                        ,CINNAMOMUM CEYLANICUM
CANTHARIDES                                       ,CANTHARIS VESICATORIA
CANTHARIS                                         ,CANTHARIS VESICATORIA
CANTHARIS VES                                     ,CANTHARIS VESICATORIA
CAPIM CIDREIRA                                    ,CYMBOPOGON CITRATUS
CAPIM GORDURA                                     ,MELINIS MINUTIFLORA
CAPIM LIMAO                                       ,CYMBOPOGON CITRATUS
CAPRIFOLIUM DUMETOSUM                             ,LONICERA XYLOSTEUM
CAPRIFOLIUM XYLOSTEUM                             ,LONICERA XYLOSTEUM
CAPSELLA BURSA PASTORIS                           ,THLASPI BURSA PASTORIS
CAPSICUM                                          ,CAPSICUM ANNUUM
CAPSICUM ANN                                      ,CAPSICUM ANNUUM
CAPSICUM CORDIFORME                               ,CAPSICUM ANNUUM
CAPSICUM GROSSUM                                  ,CAPSICUM ANNUUM
CAPSICUM LONGUM                                   ,CAPSICUM ANNUUM
CAPSULA ARTICULAR                                 ,TECIDO SINUVIAL E CAPSULA
CARAMUJO TERRESTRE                                ,HELIX TOSTA
CARANGUEJO                                        ,LIMULUS CYCLOPS
CARBO                                             ,CARBO VEGETABILIS
CARBO LIGNI                                       ,CARBO VEGETABILIS
CARBO LIGNI BETULAE                               ,CARBO VEGETABILIS
CARBO LIGNI OFFICINALIS                           ,CARBO VEGETABILIS
CARBO MINERALIS                                   ,GRAPHITES
CARBO PRAEPARATUS                                 ,CARBO VEGETABILIS
CARBO SPONGIAE                                    ,SPONGIA TOSTA
CARBO VEG                                         ,CARBO VEGETABILIS
CARBOLI ACIDUM                                    ,ACIDUM CARBOLICUM
CARBOLICUM ACIDUM                                 ,ACIDUM CARBOLICUM
CARBON AMORPHUS                                   ,GRAPHITES
CARBON DIOXIDE                                    ,GAS CARBONICO
CARBONAS AMMONICUS                                ,AMMONIUM CARBONICUM
CARBONAS AMMONII                                  ,AMMONIUM CARBONICUM
CARBONAS BARYTICUS                                ,BARYTA CARBONICA
CARBONAS FERROSUS                                 ,FERRUM CARBONICUM
CARBONAS KALICUS                                  ,KALI CARBONICUM
CARBONAS LITHICUS                                 ,LITHIUM CARBONICUM
CARBONAS MAGNESICUS                               ,MAGNESIA CARBONICA
CARBONAS NATRICUS                                 ,NATRUM CARBONICUM
CARBONAS PLUMBICUS                                ,PLUMBUM CARBONICUM
CARBONAS POTASSICUS                               ,KALI CARBONICUM
CARBONAS SODICUS                                  ,NATRUM CARBONICUM
CARBONAS STRONTICUS                               ,STRONTIUM CARBONICUM
CARBONAS ZINCICUM                                 ,ZINCUM CARBONICUM
CARBONEI DISULPHIDUM                              ,CARBONEUM SULPHURATUM
CARBONEI TETRACHLORIDUM                           ,TETRACLORETO DE CARBONO
CARBONEUM CHLORATUM                               ,TETRACLORETO DE CARBONO
CARBONEUM DIOXYDATUM                              ,CARBONEUM OXYGENATUM
CARBONEUM MURIATICUM                              ,TETRACLORETO DE CARBONO
CARBONEUM OXYGENISATUM                            ,CARBONEUM OXYGENATUM
CARBONEUM SULFURATUM                              ,CARBONEUM SULPHURATUM
CARBONEUM TETRACHLORICUM                          ,TETRACLORETO DE CARBONO
CARBONEUM TETRAMURIATICUM                         ,TETRACLORETO DE CARBONO
CARBONII BISSULPHIDUM                             ,CARBONEUM SULPHURATUM
CARBONII SULPHIDUM                                ,CARBONEUM SULPHURATUM
CARBONIUM SULPHURATUM                             ,CARBONEUM SULPHURATUM
CARBORETUM SULPHURIS                              ,CARBONEUM SULPHURATUM
CARBURETUM FERRI                                  ,GRAPHITES
CARC CARSINOSIUM                                  ,CARCINOSINUM
CARCINOMA                                         ,CARCINOSINUM
CARCINOSIN                                        ,CARCINOSINUM
CARCINOSIN MIX                                    ,CARCINOSINUM MIX
CARCINOSINUM ADENO. STOM                          ,CARCINOSINUM ADENO. STOMACH
CARCINOSINUM BRUNETT                              ,CARCINOSINUM
CARCINOSINUM FOUBISTER                            ,CARCINOSINUM
CARCINOSINUM SQUAMOUS LUNG                        ,CARCINOSINUM SQUAMOUS PULMONARIA
CARDAMOMO                                         ,CARDAMOMUM MALABARICUM
CARDAMOMUM MINUS                                  ,CARDAMOMUM MALABARICUM
CARDEAL (PAROARIA CORONATA)                       ,PAROARIA CORONATA (PENAS)
CARDIACA TRILOBATA                                ,LEONURUS CARDIACA
CARDIOSPERMUM                                     ,CARDIOSPERMUM HALICACABUM
CARDIOSPERMUM HAL                                 ,CARDIOSPERMUM HALICACABUM
CARDUUS                                           ,CARDUUS MARIANUS
CARDUUS MAR                                       ,CARDUUS MARIANUS
CARNE SUINA                                       ,CARNE DE PORCO
CARPOPOGON PRURIENS                               ,DOLICHOS PRURIENS
CARQUEJA                                          ,BACCHARIS TRIMERA
CARRAPATEIRA                                      ,RICINUS COMMUNIS
CARRAPATO                                         ,CARRAPATO CANINO
CARTHAMUS MACULATUM                               ,CARDUUS MARIANUS
CARTILAGEM (POOL)                                 ,CARTILAGEM
CARTILAGEM ARTICULAR                              ,CARTILAGEM
CARTILAGEM CONJUGACAO                             ,CARTILAGEM DE CONJUGACAO
CARTILAGEM DE CRESCIMENTO                         ,CARTILAGEM DE CONJUGACAO
CARTILAGEM DE TUBARAO                             ,CARTILAGEM DE TUBARAO
CARTILAGEM TUBARAO                                ,CARTILAGEM DE TUBARAO
CARTILAGO                                         ,CARTILAGEM
CARUM AUREUM                                      ,ZIZIA AUREA
CARUM PETROSELINUM                                ,PETROSELINUM SATIVUM
CARYOPHYLLUS AROM                                 ,EUGENIA CARYOPHYLLATA
CARYOPHYLLUS AROMATICUS                           ,EUGENIA CARYOPHYLLATA
CASCARA SAGRADA                                   ,RHAMNUS PURSHIANA
CASCAVEL NORTE AMERICANA                          ,CROTALUS HORRIDUS
CASCAVEL SUL AMERICANA                            ,CROTALUS TERRIFICUS
CASCO DE TARTARUGA TERRESTRE                      ,TORTOISE SHELL
CASEINA                                           ,CASEINUM
CASSADA                                           ,MANIHOT UTILISSIMA
CASSIA ACUTIFOLIA                                 ,CASSIA ANGUSTIFOLIA
CASSIA AETHIOPICA                                 ,CASSIA ANGUSTIFOLIA
CASSIA ALATA                                      ,CASSIA MEDICA
CASSIA ANG                                        ,CASSIA ANGUSTIFOLIA
CASSIA ERENBERGII                                 ,CASSIA ANGUSTIFOLIA
CASSIA LANCEOLATA                                 ,CASSIA ANGUSTIFOLIA
CASSIA LENITIVA                                   ,CASSIA ANGUSTIFOLIA
CASSIA NOMANE(H)                                  ,CASSIOLAMINA
CASSIA OBOVATA                                    ,CASSIA ANGUSTIFOLIA
CASSIA OFFICINALIS                                ,CASSIA ANGUSTIFOLIA
CASSIA SENNA                                      ,CASSIA ANGUSTIFOLIA
CASSUVIUM POMIFERUM                               ,ANACARDIUM OCCIDENTALE
CASSUVIUM SOLITARIUM                              ,ANACARDIUM OCCIDENTALE
CASTALIA PUDICA                                   ,NYMPHAEA ODORATA
CASTANA EQUINA                                    ,AESCULUS HIPPOCASTANUM
CASTANEA CRENATA                                  ,CASTANEA VESCA
